Compound Score,Negative Score,Neutral Score,News Source,Positive Score,Tweets Ago
-0.7964,0.244,0.756,@BBCNews,0.0,14
-0.6369,0.302,0.698,@BBCNews,0.0,15
0.3818,0.0,0.794,@BBCNews,0.206,16
-0.7783,0.302,0.617,@BBCNews,0.081,17
-0.4215,0.259,0.741,@BBCNews,0.0,18
0.0,0.0,1.0,@BBCNews,0.0,19
-0.6361,0.189,0.811,@BBCNews,0.0,20
-0.5859,0.137,0.863,@BBCNews,0.0,21
-0.3612,0.128,0.872,@BBCNews,0.0,22
0.7777,0.0,0.673,@BBCNews,0.327,23
-0.5859,0.213,0.787,@BBCNews,0.0,24
0.8689,0.0,0.634,@BBCNews,0.366,25
-0.6908,0.241,0.759,@BBCNews,0.0,26
-0.3724,0.242,0.758,@BBCNews,0.0,27
-0.0516,0.107,0.893,@BBCNews,0.0,28
-0.25,0.167,0.833,@BBCNews,0.0,29
-0.0516,0.107,0.893,@BBCNews,0.0,30
-0.7003,0.367,0.633,@BBCNews,0.0,31
0.0,0.0,1.0,@BBCNews,0.0,32
0.4019,0.0,0.69,@BBCNews,0.31,33
0.0,0.0,1.0,@BBCNews,0.0,34
0.1406,0.0,0.928,@BBCNews,0.072,35
-0.1779,0.298,0.702,@BBCNews,0.0,36
0.6597,0.0,0.565,@BBCNews,0.435,37
-0.8625,0.375,0.625,@BBCNews,0.0,38
-0.4939,0.225,0.775,@BBCNews,0.0,39
0.0,0.0,1.0,@BBCNews,0.0,40
-0.6908,0.322,0.678,@BBCNews,0.0,41
-0.34,0.255,0.745,@BBCNews,0.0,42
-0.7783,0.214,0.786,@BBCNews,0.0,43
0.0516,0.138,0.714,@BBCNews,0.147,44
-0.6597,0.355,0.645,@BBCNews,0.0,45
-0.4168,0.161,0.74,@BBCNews,0.099,46
-0.5423,0.259,0.741,@BBCNews,0.0,47
-0.2023,0.086,0.859,@BBCNews,0.055,48
0.5106,0.0,0.784,@BBCNews,0.216,49
-0.3182,0.15,0.85,@BBCNews,0.0,50
0.0,0.0,1.0,@BBCNews,0.0,51
0.0,0.0,1.0,@BBCNews,0.0,52
0.0,0.0,1.0,@BBCNews,0.0,53
-0.5719,0.54,0.46,@BBCNews,0.0,54
0.2716,0.0,0.901,@BBCNews,0.099,55
-0.4767,0.181,0.819,@BBCNews,0.0,56
-0.743,0.258,0.742,@BBCNews,0.0,57
-0.6486,0.301,0.699,@BBCNews,0.0,58
-0.9231,0.727,0.273,@BBCNews,0.0,59
-0.2924,0.214,0.786,@BBCNews,0.0,60
-0.2263,0.115,0.82,@BBCNews,0.066,61
0.5106,0.0,0.784,@BBCNews,0.216,62
0.0,0.0,1.0,@BBCNews,0.0,63
0.0,0.0,1.0,@BBCNews,0.0,64
0.34,0.0,0.854,@BBCNews,0.146,65
-0.1779,0.123,0.788,@BBCNews,0.089,66
-0.872,0.6,0.256,@BBCNews,0.144,67
0.0,0.0,1.0,@BBCNews,0.0,68
0.0,0.0,1.0,@BBCNews,0.0,69
-0.7579,0.565,0.435,@BBCNews,0.0,70
-0.6705,0.36,0.64,@BBCNews,0.0,71
0.0,0.0,1.0,@BBCNews,0.0,72
0.0,0.0,1.0,@BBCNews,0.0,73
0.4019,0.0,0.748,@BBCNews,0.252,74
-0.7351,0.508,0.492,@BBCNews,0.0,75
-0.6908,0.402,0.598,@BBCNews,0.0,76
0.296,0.0,0.804,@BBCNews,0.196,77
0.4877,0.0,0.655,@BBCNews,0.345,78
0.0,0.0,1.0,@BBCNews,0.0,79
0.0,0.0,1.0,@BBCNews,0.0,80
0.5423,0.057,0.755,@BBCNews,0.189,81
-0.4767,0.277,0.581,@BBCNews,0.142,82
0.6369,0.0,0.698,@BBCNews,0.302,83
0.1531,0.0,0.849,@BBCNews,0.151,84
0.1027,0.111,0.764,@BBCNews,0.125,85
-0.34,0.138,0.862,@BBCNews,0.0,86
0.0,0.0,1.0,@BBCNews,0.0,87
0.0,0.0,1.0,@BBCNews,0.0,88
-0.7506,0.478,0.522,@BBCNews,0.0,89
0.1027,0.0,0.833,@BBCNews,0.167,90
0.0,0.0,1.0,@BBCNews,0.0,91
0.0,0.0,1.0,@BBCNews,0.0,92
0.0,0.0,1.0,@BBCNews,0.0,93
0.7096,0.0,0.781,@BBCNews,0.219,94
0.6239,0.124,0.498,@BBCNews,0.378,95
-0.5574,0.34,0.66,@BBCNews,0.0,96
0.7845,0.0,0.699,@BBCNews,0.301,97
0.4215,0.0,0.887,@BBCNews,0.113,98
-0.2732,0.101,0.844,@BBCNews,0.055,99
-0.3818,0.184,0.816,@CBSNews,0.0,0
0.0,0.0,1.0,@CBSNews,0.0,1
0.0,0.0,1.0,@CBSNews,0.0,2
0.4215,0.0,0.872,@CBSNews,0.128,3
-0.3818,0.246,0.615,@CBSNews,0.139,4
0.0,0.0,1.0,@CBSNews,0.0,5
-0.4404,0.255,0.606,@CBSNews,0.139,6
0.1779,0.131,0.704,@CBSNews,0.166,7
0.1513,0.0,0.923,@CBSNews,0.077,8
-0.6808,0.294,0.614,@CBSNews,0.092,9
0.0,0.0,1.0,@CBSNews,0.0,10
0.0772,0.0,0.939,@CBSNews,0.061,11
-0.3818,0.157,0.843,@CBSNews,0.0,12
0.0,0.0,1.0,@CBSNews,0.0,13
-0.4019,0.213,0.787,@CBSNews,0.0,14
-0.34,0.112,0.888,@CBSNews,0.0,15
0.3612,0.0,0.889,@CBSNews,0.111,16
0.0,0.0,1.0,@CBSNews,0.0,17
0.3826,0.146,0.573,@CBSNews,0.281,18
-0.4588,0.231,0.769,@CBSNews,0.0,19
0.0,0.0,1.0,@CBSNews,0.0,20
0.0,0.0,1.0,@CBSNews,0.0,21
-0.2263,0.102,0.837,@CBSNews,0.06,22
0.0,0.0,1.0,@CBSNews,0.0,23
-0.7717,0.401,0.599,@CBSNews,0.0,24
-0.4939,0.167,0.833,@CBSNews,0.0,25
0.2023,0.0,0.909,@CBSNews,0.091,26
-0.8271,0.325,0.675,@CBSNews,0.0,27
-0.34,0.121,0.825,@CBSNews,0.053,28
0.4019,0.0,0.847,@CBSNews,0.153,29
-0.8126,0.451,0.549,@CBSNews,0.0,30
-0.6597,0.216,0.784,@CBSNews,0.0,31
-0.25,0.258,0.591,@CBSNews,0.151,32
-0.4939,0.167,0.833,@CBSNews,0.0,33
0.2481,0.112,0.737,@CBSNews,0.151,34
-0.4939,0.282,0.577,@CBSNews,0.141,35
-0.4767,0.134,0.866,@CBSNews,0.0,36
0.0,0.0,1.0,@CBSNews,0.0,37
-0.2023,0.22,0.61,@CBSNews,0.171,38
0.0,0.0,1.0,@CBSNews,0.0,39
-0.5574,0.141,0.859,@CBSNews,0.0,40
0.0,0.0,1.0,@CBSNews,0.0,41
0.0,0.0,1.0,@CBSNews,0.0,42
0.7096,0.0,0.651,@CBSNews,0.349,43
-0.6486,0.266,0.59,@CBSNews,0.144,44
-0.2023,0.148,0.738,@CBSNews,0.115,45
-0.4019,0.114,0.886,@CBSNews,0.0,46
0.3612,0.0,0.889,@CBSNews,0.111,47
-0.8155,0.282,0.718,@CBSNews,0.0,48
0.4215,0.0,0.808,@CBSNews,0.192,49
-0.8442,0.394,0.606,@CBSNews,0.0,50
0.7269,0.0,0.757,@CBSNews,0.243,51
-0.7351,0.298,0.702,@CBSNews,0.0,52
0.0,0.0,1.0,@CBSNews,0.0,53
-0.296,0.136,0.864,@CBSNews,0.0,54
-0.2023,0.096,0.904,@CBSNews,0.0,55
0.0,0.0,1.0,@CBSNews,0.0,56
0.4215,0.0,0.872,@CBSNews,0.128,57
0.0772,0.097,0.793,@CBSNews,0.11,58
-0.3506,0.114,0.886,@CBSNews,0.0,59
-0.802,0.298,0.702,@CBSNews,0.0,60
-0.34,0.179,0.821,@CBSNews,0.0,61
-0.3818,0.133,0.867,@CBSNews,0.0,62
-0.6369,0.261,0.634,@CBSNews,0.104,63
0.6705,0.0,0.776,@CBSNews,0.224,64
-0.4767,0.205,0.795,@CBSNews,0.0,65
-0.3875,0.149,0.851,@CBSNews,0.0,66
-0.8555,0.393,0.607,@CBSNews,0.0,67
-0.0516,0.066,0.934,@CBSNews,0.0,68
-0.5574,0.175,0.825,@CBSNews,0.0,69
0.0,0.0,1.0,@CBSNews,0.0,70
-0.6908,0.341,0.659,@CBSNews,0.0,71
0.296,0.0,0.901,@CBSNews,0.099,72
0.7506,0.0,0.726,@CBSNews,0.274,73
0.2732,0.0,0.9,@CBSNews,0.1,74
0.1779,0.0,0.898,@CBSNews,0.102,75
-0.6486,0.238,0.762,@CBSNews,0.0,76
0.0,0.0,1.0,@CBSNews,0.0,77
-0.6486,0.281,0.719,@CBSNews,0.0,78
-0.7717,0.271,0.729,@CBSNews,0.0,79
0.0,0.0,1.0,@CBSNews,0.0,80
0.0,0.262,0.437,@CBSNews,0.302,81
0.5267,0.0,0.732,@CBSNews,0.268,82
0.0,0.0,1.0,@CBSNews,0.0,83
0.1027,0.169,0.634,@CBSNews,0.197,84
0.0,0.0,1.0,@CBSNews,0.0,85
0.6369,0.0,0.729,@CBSNews,0.271,86
0.0,0.0,1.0,@CBSNews,0.0,87
-0.2263,0.137,0.863,@CBSNews,0.0,88
0.0,0.0,1.0,@CBSNews,0.0,89
0.4019,0.0,0.87,@CBSNews,0.13,90
-0.5106,0.163,0.837,@CBSNews,0.0,91
-0.875,0.5,0.5,@CBSNews,0.0,92
0.2732,0.0,0.896,@CBSNews,0.104,93
-0.3818,0.11,0.89,@CBSNews,0.0,94
0.0,0.0,1.0,@CBSNews,0.0,95
0.0,0.0,1.0,@CBSNews,0.0,96
0.4184,0.0,0.812,@CBSNews,0.188,97
0.0,0.0,1.0,@CBSNews,0.0,98
0.0,0.0,1.0,@CBSNews,0.0,99
0.7579,0.0,0.723,@FoxNews,0.277,0
-0.2023,0.141,0.859,@FoxNews,0.0,1
-0.5267,0.167,0.833,@FoxNews,0.0,2
-0.34,0.156,0.844,@FoxNews,0.0,3
0.0,0.0,1.0,@FoxNews,0.0,4
0.0516,0.168,0.652,@FoxNews,0.179,5
-0.4019,0.172,0.828,@FoxNews,0.0,6
0.4019,0.0,0.791,@FoxNews,0.209,7
-0.34,0.138,0.862,@FoxNews,0.0,8
-0.4939,0.225,0.775,@FoxNews,0.0,9
-0.7579,0.371,0.629,@FoxNews,0.0,10
0.0,0.0,1.0,@FoxNews,0.0,11
0.0,0.0,1.0,@FoxNews,0.0,12
-0.6369,0.344,0.656,@FoxNews,0.0,13
-0.4939,0.186,0.814,@FoxNews,0.0,14
-0.34,0.179,0.821,@FoxNews,0.0,15
0.0,0.0,1.0,@FoxNews,0.0,16
0.6059,0.0,0.729,@FoxNews,0.271,17
0.2732,0.0,0.909,@FoxNews,0.091,18
0.0516,0.171,0.647,@FoxNews,0.182,19
0.0,0.152,0.696,@FoxNews,0.152,20
0.0,0.0,1.0,@FoxNews,0.0,21
0.0,0.0,1.0,@FoxNews,0.0,22
0.0,0.0,1.0,@FoxNews,0.0,23
0.4767,0.0,0.796,@FoxNews,0.204,24
0.0,0.0,1.0,@FoxNews,0.0,25
-0.4019,0.167,0.727,@FoxNews,0.105,26
-0.6705,0.478,0.522,@FoxNews,0.0,27
0.0,0.0,1.0,@FoxNews,0.0,28
-0.6486,0.264,0.736,@FoxNews,0.0,29
0.0,0.0,1.0,@FoxNews,0.0,30
-0.4215,0.141,0.859,@FoxNews,0.0,31
0.8402,0.0,0.545,@FoxNews,0.455,32
0.1027,0.0,0.887,@FoxNews,0.113,33
-0.7096,0.258,0.742,@FoxNews,0.0,34
-0.34,0.146,0.854,@FoxNews,0.0,35
0.0,0.0,1.0,@FoxNews,0.0,36
0.0,0.0,1.0,@FoxNews,0.0,37
-0.5859,0.275,0.725,@FoxNews,0.0,38
0.0,0.0,1.0,@FoxNews,0.0,39
0.0,0.0,1.0,@FoxNews,0.0,40
0.0,0.0,1.0,@FoxNews,0.0,41
-0.5574,0.175,0.825,@FoxNews,0.0,42
-0.8126,0.316,0.684,@FoxNews,0.0,43
-0.8442,0.351,0.649,@FoxNews,0.0,44
-0.5106,0.171,0.829,@FoxNews,0.0,45
-0.3818,0.178,0.822,@FoxNews,0.0,46
-0.0516,0.208,0.595,@FoxNews,0.196,47
-0.2263,0.102,0.837,@FoxNews,0.06,48
-0.0516,0.14,0.735,@FoxNews,0.125,49
-0.4588,0.182,0.818,@FoxNews,0.0,50
-0.3412,0.107,0.893,@FoxNews,0.0,51
-0.3182,0.171,0.743,@FoxNews,0.086,52
0.296,0.094,0.759,@FoxNews,0.147,53
-0.4939,0.242,0.758,@FoxNews,0.0,54
-0.296,0.136,0.864,@FoxNews,0.0,55
0.3612,0.0,0.667,@FoxNews,0.333,56
0.0,0.0,1.0,@FoxNews,0.0,57
0.0,0.0,1.0,@FoxNews,0.0,58
0.0,0.0,1.0,@FoxNews,0.0,59
0.0,0.0,1.0,@FoxNews,0.0,60
0.0,0.0,1.0,@FoxNews,0.0,61
0.7506,0.0,0.632,@FoxNews,0.368,62
0.802,0.0,0.714,@FoxNews,0.286,63
0.4939,0.0,0.833,@FoxNews,0.167,64
0.1027,0.082,0.82,@FoxNews,0.098,65
0.0,0.0,1.0,@FoxNews,0.0,66
-0.5719,0.188,0.812,@FoxNews,0.0,67
-0.2755,0.131,0.869,@FoxNews,0.0,68
0.7778,0.0,0.746,@FoxNews,0.254,69
0.8091,0.0,0.639,@FoxNews,0.361,70
-0.34,0.194,0.806,@FoxNews,0.0,71
-0.6486,0.35,0.65,@FoxNews,0.0,72
-0.8689,0.474,0.526,@FoxNews,0.0,73
0.0,0.0,1.0,@FoxNews,0.0,74
0.0,0.0,1.0,@FoxNews,0.0,75
-0.8519,0.482,0.518,@FoxNews,0.0,76
-0.34,0.124,0.876,@FoxNews,0.0,77
-0.5423,0.184,0.735,@FoxNews,0.082,78
-0.6486,0.323,0.677,@FoxNews,0.0,79
0.1027,0.124,0.73,@FoxNews,0.146,80
0.8271,0.0,0.623,@FoxNews,0.377,81
0.0,0.0,1.0,@FoxNews,0.0,82
0.2023,0.0,0.859,@FoxNews,0.141,83
-0.4939,0.242,0.758,@FoxNews,0.0,84
0.0,0.0,1.0,@FoxNews,0.0,85
-0.0258,0.151,0.704,@FoxNews,0.146,86
-0.5106,0.216,0.784,@FoxNews,0.0,87
-0.6369,0.276,0.724,@FoxNews,0.0,88
0.5719,0.0,0.793,@FoxNews,0.207,89
0.0772,0.196,0.638,@FoxNews,0.166,90
-0.3182,0.216,0.784,@FoxNews,0.0,91
0.5574,0.0,0.841,@FoxNews,0.159,92
0.5859,0.0,0.703,@FoxNews,0.297,93
0.0,0.0,1.0,@FoxNews,0.0,94
0.5267,0.0,0.805,@FoxNews,0.195,95
0.0,0.0,1.0,@FoxNews,0.0,96
-0.4019,0.137,0.863,@FoxNews,0.0,97
0.4215,0.0,0.833,@FoxNews,0.167,98
0.4344,0.099,0.722,@FoxNews,0.178,99
0.0,0.0,1.0,@nytimes,0.0,0
-0.34,0.264,0.569,@nytimes,0.167,1
0.0,0.0,1.0,@nytimes,0.0,2
0.0,0.0,1.0,@nytimes,0.0,3
0.0,0.0,1.0,@nytimes,0.0,4
0.4215,0.0,0.882,@nytimes,0.118,5
0.0,0.0,1.0,@nytimes,0.0,6
0.0,0.0,1.0,@nytimes,0.0,7
0.3818,0.0,0.86,@nytimes,0.14,8
0.2732,0.0,0.877,@nytimes,0.123,9
0.3612,0.0,0.872,@nytimes,0.128,10
0.0,0.0,1.0,@nytimes,0.0,11
0.0,0.0,1.0,@nytimes,0.0,12
-0.2051,0.083,0.917,@nytimes,0.0,13
-0.5267,0.152,0.848,@nytimes,0.0,14
0.5719,0.0,0.821,@nytimes,0.179,15
0.0,0.0,1.0,@nytimes,0.0,16
0.2023,0.0,0.816,@nytimes,0.184,17
-0.8074,0.3,0.7,@nytimes,0.0,18
0.0,0.0,1.0,@nytimes,0.0,19
-0.5994,0.311,0.546,@nytimes,0.143,20
-0.7506,0.416,0.584,@nytimes,0.0,21
0.3164,0.0,0.84,@nytimes,0.16,22
0.0,0.0,1.0,@nytimes,0.0,23
-0.5574,0.153,0.847,@nytimes,0.0,24
0.4767,0.0,0.819,@nytimes,0.181,25
-0.5267,0.159,0.841,@nytimes,0.0,26
-0.899,0.383,0.617,@nytimes,0.0,27
0.0,0.0,1.0,@nytimes,0.0,28
0.5267,0.0,0.827,@nytimes,0.173,29
0.3254,0.0,0.896,@nytimes,0.104,30
0.2716,0.0,0.89,@nytimes,0.11,31
0.0,0.0,1.0,@nytimes,0.0,32
-0.6597,0.232,0.677,@nytimes,0.09,33
0.2023,0.0,0.904,@nytimes,0.096,34
0.4215,0.0,0.872,@nytimes,0.128,35
-0.25,0.095,0.905,@nytimes,0.0,36
0.0,0.0,1.0,@nytimes,0.0,37
0.0,0.0,1.0,@nytimes,0.0,38
-0.5423,0.156,0.844,@nytimes,0.0,39
0.4019,0.0,0.87,@nytimes,0.13,40
0.0,0.0,1.0,@nytimes,0.0,41
-0.5574,0.153,0.847,@nytimes,0.0,42
-0.802,0.31,0.69,@nytimes,0.0,43
0.6808,0.0,0.772,@nytimes,0.228,44
0.802,0.0,0.699,@nytimes,0.301,45
0.0,0.0,1.0,@nytimes,0.0,46
0.0,0.0,1.0,@nytimes,0.0,47
0.3818,0.0,0.88,@nytimes,0.12,48
-0.5719,0.208,0.735,@nytimes,0.057,49
-0.5423,0.163,0.837,@nytimes,0.0,50
0.7184,0.136,0.437,@nytimes,0.427,51
0.1027,0.169,0.64,@nytimes,0.192,52
0.2023,0.0,0.924,@nytimes,0.076,53
-0.25,0.087,0.913,@nytimes,0.0,54
0.0,0.0,1.0,@nytimes,0.0,55
0.3818,0.0,0.833,@nytimes,0.167,56
0.0,0.0,1.0,@nytimes,0.0,57
0.0,0.0,1.0,@nytimes,0.0,58
0.0,0.0,1.0,@nytimes,0.0,59
0.2263,0.0,0.863,@nytimes,0.137,60
0.25,0.0,0.875,@nytimes,0.125,61
-0.6463,0.212,0.733,@nytimes,0.055,62
0.0,0.0,1.0,@nytimes,0.0,63
0.4939,0.0,0.833,@nytimes,0.167,64
0.0,0.0,1.0,@nytimes,0.0,65
0.34,0.0,0.876,@nytimes,0.124,66
0.0,0.0,1.0,@nytimes,0.0,67
0.0,0.0,1.0,@nytimes,0.0,68
0.0314,0.138,0.717,@nytimes,0.145,69
0.0,0.0,1.0,@nytimes,0.0,70
-0.4854,0.222,0.673,@nytimes,0.105,71
0.6908,0.0,0.759,@nytimes,0.241,72
0.296,0.074,0.81,@nytimes,0.116,73
-0.2023,0.178,0.69,@nytimes,0.132,74
0.0,0.0,1.0,@nytimes,0.0,75
0.1366,0.196,0.587,@nytimes,0.218,76
0.0,0.0,1.0,@nytimes,0.0,77
0.0,0.0,1.0,@nytimes,0.0,78
-0.3612,0.2,0.8,@nytimes,0.0,79
-0.3875,0.208,0.792,@nytimes,0.0,80
0.4019,0.0,0.863,@nytimes,0.137,81
0.0,0.0,1.0,@nytimes,0.0,82
-0.3182,0.103,0.897,@nytimes,0.0,83
-0.128,0.115,0.791,@nytimes,0.095,84
0.4767,0.0,0.853,@nytimes,0.147,85
0.0,0.0,1.0,@nytimes,0.0,86
0.2732,0.0,0.89,@nytimes,0.11,87
-0.5423,0.246,0.632,@nytimes,0.123,88
0.0258,0.0,0.942,@nytimes,0.058,89
0.4767,0.0,0.744,@nytimes,0.256,90
0.6597,0.0,0.769,@nytimes,0.231,91
0.836,0.0,0.639,@nytimes,0.361,92
0.3182,0.0,0.777,@nytimes,0.223,93
0.4389,0.0,0.874,@nytimes,0.126,94
0.0,0.0,1.0,@nytimes,0.0,95
0.0,0.0,1.0,@nytimes,0.0,96
0.2263,0.0,0.905,@nytimes,0.095,97
0.0,0.0,1.0,@nytimes,0.0,98
0.8126,0.057,0.565,@nytimes,0.378,99
